team_id,player_p,name_p,player_q,name_q,minutes_together,jdi,jdi90
381,2134,Moises Caicedo,13939,Djorkaeff Reasco,33.71666666666667,0.009352470010816492,0.02496457640059765
381,1287,José Cifuentes,13939,Djorkaeff Reasco,33.71666666666667,0.009352470010816492,0.02496457640059765
58,3352,Jorge Sánchez,3455,Luis Chávez,182.96666666666667,0.050749211116651205,0.024963175444517805
58,2106,Edson Alvarez,3352,Jorge Sánchez,182.96666666666667,0.050749211116651205,0.024963175444517805
366,37,Virgil van Dijk,1522,Frenkie de Jong,468.3833333333333,0.12989872266309274,0.024960079079838483
371,4926,Borna Sosa,6019,Nikola Vlasic,90.05,0.024968945763337063,0.024955081828987626
361,162,Gabriel Martinelli,8061,Danilo,10.233333333333333,0.002836219435089891,0.024943949429129336
378,3263,Hannibal Mejbri,9598,Ali Abdi,18.45,0.005110546163738853,0.024929493481652944
376,4625,Robert Lewandowski,12537,Nicola Zalewski,78.08333333333333,0.021622794038622273,0.024922750866288212
382,14004,Abdulelah Al-Malki,14011,Saleh Al-Shehri,162.60000000000002,0.04497080307856232,0.024891588419868438
376,12514,Piotr Zielinski,13849,Artur Jedrzejczyk,24.1,0.006663980283168679,0.024886233422621622
57,2088,Maya Yoshida,4925,Hiroki Ito,49.75,0.013702876751775322,0.024789123772055856
382,13994,Saud Abdulhamid,14000,Nawaf Al-Abed,78.4,0.021592216370600367,0.024786983078495316
382,13995,Abdulelah Al-Amri,14007,Nasser Al-Dawsari,12.033333333333333,0.0033106976480810875,0.02476145055351506
378,12862,Wajdi Kechrida,14019,Yassine Meriah,136.53333333333333,0.037515489923124,0.024729448923934277
382,13990,Yasser Al-Shahrani,13994,Saud Abdulhamid,98.61666666666666,0.027095738397021365,0.024728238523561836
364,1389,Angel Correa,11856,Enzo Fernandez,9.416666666666666,0.0025841809946471417,0.024698367028485955
364,1389,Angel Correa,4590,Exequiel Palacios,9.416666666666666,0.0025841809946471417,0.024698367028485955
367,4882,Robert Skov,7443,Christian Eriksen,27.066666666666666,0.007413715615978238,0.02465151744229217
367,395,Pierre-Emile Höjbjerg,4882,Robert Skov,27.066666666666666,0.007413715615978238,0.02465151744229217
382,14003,Mohamed Kanno,14008,Riad Sharahili,61.61666666666667,0.016876791635111913,0.024650980478659542
371,4883,Andrej Kramaric,8136,Ivan Perisic,477.85,0.13072914918668865,0.024622001520983525
363,3878,Axel Disasi,4012,Eduardo Camavinga,102.7,0.027998058529080494,0.024535786442232175
361,1926,Thiago Silva,8039,Antony,75.81666666666666,0.020654042289086252,0.024517878294364866
362,66,Toby Alderweireld,1960,Timothy Castagne,284.2833333333333,0.07743629298309809,0.024515212646346353
386,7478,Milos Degenek,13817,Jamie Maclaren,35.78333333333333,0.00974366065794218,0.024506645343683173
371,8129,Marcelo Brozovic,8136,Ivan Perisic,498.45,0.1354395767807234,0.024454934116290718
362,66,Toby Alderweireld,4669,Thomas Meunier,210.96666666666667,0.057277251098407596,0.02443491514705333
361,162,Gabriel Martinelli,12945,Bremer,122.28333333333333,0.03317969592727765,0.024420111490704555
386,8854,Jackson Irvine,13821,Keanu Baccus,117.51666666666668,0.03186240166405095,0.02440178258202739
371,5968,Lovro Majer,6019,Nikola Vlasic,29.633333333333333,0.008034197716599413,0.024400825460988092
57,13800,Ayase Ueda,13801,Yuki Soma,46.416666666666664,0.0125606171042174,0.0243545179040481
58,3343,Guillermo Ochoa,3414,Alexis Vega,201.43333333333334,0.05449114584934744,0.02434653215178522
371,13856,Josip Sutalo,13860,Marko Livaja,65.78333333333333,0.017784801717736713,0.024331879725304855
370,57,Xherdan Shaqiri,4695,Nico Elvedi,71.05,0.019206569832754726,0.024329222870484522
374,9820,Achraf Dari,13864,Yahia Attiat-Allah,151.86666666666667,0.04104482150314992,0.024324191847784192
361,162,Gabriel Martinelli,8050,Alex Sandro,10.233333333333333,0.0027630988595802996,0.024300869449077556
382,14000,Nawaf Al-Abed,14003,Mohamed Kanno,78.4,0.021139683297845942,0.0242674935817109
52,1341,Unai Simon,1381,Marcos Llorente,90.0,0.024256441909623238,0.024256441909623234
51,107,Christian Pulisic,8343,Sergiño Dest,277.8666666666667,0.07488503605517866,0.02425499008505067
376,4851,Krzysztof Piatek,8042,Wojciech Szczesny,39.599999999999994,0.010668384278998456,0.024246327906814677
57,2090,Hiroki Sakai,2095,Daichi Kamada,73.91666666666667,0.01990469141772571,0.024235700937027923
377,4795,Woo-yeong Jeong,13922,Woo-young Jung,50.6,0.013623699954573734,0.024231877389558024
377,1257,In-beom Hwang,4795,Woo-yeong Jeong,50.6,0.013623699954573734,0.024231877389558024
370,8113,Noah Okafor,8328,Remo Freuler,30.166666666666664,0.008116430170391577,0.024214764044262163
371,5968,Lovro Majer,13861,Bruno Petkovic,27.566666666666666,0.00741611352609112,0.024212220701869434
52,1381,Marcos Llorente,13178,Nico Williams,14.9,0.00400601405948472,0.024197400359303678
376,12537,Nicola Zalewski,12766,Bartosz Bereszynski,78.08333333333333,0.020977613716730712,0.024179106525153864
376,1896,Matty Cash,11113,Sebastian Szymanski,134.66666666666669,0.036153384389419056,0.024161915309760258
377,13907,Seun-gyu Kim,13922,Woo-young Jung,323.8,0.08676176112375053,0.024115375235137577
364,8058,Paulo Dybala,13222,Nahuel Molina,12.15,0.003249560375036663,0.02407081759286417
363,1675,Raphael Varane,10756,Jordan Veretout,62.56666666666667,0.016731059668679465,0.02406705439820701
379,8402,Nicolas Ngamaleu,8741,Gael Ondoua,15.533333333333333,0.004150693521541237,0.024049082635539357
371,1665,Ante Budimir,13858,Josip Juranovic,28.666666666666668,0.0076549840362097575,0.02403308941600738
362,1960,Timothy Castagne,4498,Amadou Onana,103.4,0.027610850279151763,0.024032654981853564
360,13953,Karim Boudiaf,13963,Mohammed Muntari,56.61666666666666,0.015107909837696824,0.024016106306612557
378,4105,Wahbi Khazri,14022,Aissa Laidouni,59.0,0.015737854537775355,0.024006896752538677
362,1672,Thibaut Courtois,4684,Thorgan Hazard,109.9,0.029301557229589915,0.023995815747616854
367,200,Kasper Schmeichel,11967,Victor Nelsson,97.16666666666667,0.02589306439004323,0.023983284340691843
384,286,Chris Mepham,8062,Aaron Ramsey,281.3833333333333,0.07489885153417526,0.023956275441837732
381,1034,Jhegson Méndez,13940,Kevin Rodriguez,12.033333333333333,0.003201861773783614,0.023947442629406533
365,133,Bruno Fernandes,8079,Matheus Nunes,18.15,0.0048282548584612115,0.023941759628733284
362,1694,Eden Hazard,1960,Timothy Castagne,128.83333333333334,0.03423059112132027,0.02391270272382011
382,13993,Sultan Al-Ghannam,14000,Nawaf Al-Abed,40.21666666666667,0.010678100058570335,0.023896286911015256
386,7478,Milos Degenek,8854,Jackson Irvine,189.16666666666669,0.05021436087939956,0.023890532929405954
372,3996,Bamba Dieng,12154,Famara Diedhiou,23.133333333333333,0.006137913228393781,0.0238794895052784
367,92,Andreas Christensen,11854,Alexander Bah,54.233333333333334,0.014336820604499957,0.02379189651637977
367,395,Pierre-Emile Höjbjerg,11854,Alexander Bah,54.233333333333334,0.014330260201420201,0.02378100955367827
367,7443,Christian Eriksen,11854,Alexander Bah,54.233333333333334,0.014330260201420201,0.02378100955367827
376,9939,Jakub Kaminski,11113,Sebastian Szymanski,134.66666666666669,0.03557455162284279,0.023775071629127602
