team_id,player_p,name_p,player_q,name_q,minutes_together,n_interactions,joi,joi90,p_initiates_frac
384,462,Wayne Hennessey,2083,Joe Rodon,202.64999999999998,21,-0.034393599066115846,-0.015274729415003338,0.38095238095238093
380,3965,Jonathan David,9094,Cyle Larin,88.44999999999999,1,-0.015033375331787086,-0.015296820575023604,0.0
364,11,Nicolás Otamendi,4590,Exequiel Palacios,67.78333333333333,1,-0.011523031900100558,-0.015299821062341533,1.0
376,1896,Matty Cash,13851,Michal Skoras,47.18333333333333,8,-0.008042118164107461,-0.01533996400077015,0.375
369,1535,Luis Suarez,8071,Sebastian Coates,92.80000000000001,3,-0.01585010360044166,-0.015371867715945573,0.0
57,8927,Ao Tanaka,13797,Shogo Taniguchi,86.51666666666667,3,-0.014864036279579055,-0.01546249198800364,0.6666666666666666
385,13781,Celso Borges,13785,Gerson Torres,64.06666666666666,14,-0.01101404142813115,-0.01547237869716655,0.5
57,2087,Takehiro Tomiyasu,13802,Daizen Maeda,68.11666666666666,1,-0.011717561489890945,-0.015481975053929804,1.0
58,3367,Henry Martín,3414,Alexis Vega,122.76666666666667,4,-0.021133074225668933,-0.015492614827397807,0.75
361,32,Alisson,9330,Dani Alves,17.45,1,-0.0030042684375968173,-0.0154947942340237,1.0
374,9820,Achraf Dari,13870,Abderrazak Hamdallah,30.266666666666666,1,-0.0052371746940930355,-0.015573096557325106,1.0
361,44,Fabinho,12945,Bremer,100.05,8,-0.017339745769103153,-0.015597972206089793,0.625
385,649,Francisco Calvo,13790,Brandon Aguilera,58.93333333333334,3,-0.010219946674556512,-0.015607384627433586,0.6666666666666666
370,4566,Rubén Vargas,4661,Manuel Akanji,287.35,12,-0.05037963085369275,-0.01577924752682216,0.4166666666666667
367,11854,Alexander Bah,12779,Mikkel Damsgaard,37.6,2,-0.006615906026570521,-0.015835945276365608,0.5
384,71,Ben Davies,6935,Joe Allen,83.88333333333334,3,-0.01484397745037356,-0.015926381528316554,0.0
370,4661,Manuel Akanji,4703,Denis Zakaria,72.55,6,-0.012841857607581629,-0.015930629699274248,0.3333333333333333
365,8077,Joao Palhinha,8593,Rafael Leao,63.233333333333334,3,-0.011215667145638424,-0.015963258457155374,0.3333333333333333
365,17,João Cancelo,1393,Joao Felix,216.76666666666665,6,-0.0385868430827423,-0.016020986671290822,0.3333333333333333
377,83,Heung-min Son,5038,Jae-sung Lee,212.51666666666665,15,-0.03788190201557869,-0.016042841415114497,0.6
379,1977,André Zambo Anguissa,13875,Vincent Aboubakar,148.2,8,-0.026422431306906996,-0.016046010915125707,0.625
375,8037,Dusan Tadić,12642,Ivan Ilić,40.75,5,-0.007288191162102893,-0.016096618517527864,0.6
369,12529,Matias Vina,13926,Diego Godin,19.816666666666666,2,-0.0035480950957962366,-0.01611414088923438,0.0
374,4002,Nayef Aguerd,12777,Abdelhamid Sabiri,110.41666666666666,3,-0.019844239222628898,-0.016174927064482425,0.0
372,7988,Boulaye Dia,13901,Pape Abou Cissé,87.13333333333333,1,-0.015736746501679368,-0.01625448184947754,1.0
374,13560,Anass Zaroury,13866,Selim Amallah,29.266666666666666,1,-0.005310601017510141,-0.016331005406921846,1.0
